Month,Academic_Phase,Location_Zone,Business_Category,Competitor_Density,Base_Footfall_Index,Demand_Volume,Location_Suitability_Score
5,Holidays,South Gate,Fashion,19,0.215,14,0.0
4,Exams,North Gate,Fashion,7,0.529,83,48.42
3,Mid-Semester,Obanla,Electronics,11,0.821,132,45.19
7,Mid-Semester,South Gate,Fast Food,10,0.777,427,62.76
11,Holidays,Obanla,Fast Food,12,0.178,25,24.5
12,Resumption,Obanla,POS/Fintech,14,0.667,484,34.17
6,Resumption,South Gate,Stationery/Printing,8,0.866,343,70.86
7,Mid-Semester,South Gate,Fast Food,14,0.944,396,43.33
5,Exams,Apatapiti,Stationery/Printing,6,0.497,367,40.93
6,Resumption,South Gate,Fast Food,17,0.715,276,15.67
5,Holidays,Apatapiti,Fast Food,11,0.211,36,24.7
7,Mid-Semester,North Gate,POS/Fintech,9,0.474,274,32.69
2,Resumption,Obanla,Fashion,9,0.707,262,42.82
11,Holidays,Apatapiti,POS/Fintech,9,0.139,20,29.49
5,Exams,Apatapiti,Fast Food,13,0.516,260,28.35
6,Resumption,North Gate,Fashion,5,0.515,216,49.9
6,Resumption,South Gate,Fashion,12,0.729,259,42.29
5,Holidays,Apatapiti,Fashion,9,0.144,11,21.43
10,Holidays,North Gate,Stationery/Printing,8,0.1,4,32.54
7,Mid-Semester,South Gate,Fast Food,9,0.794,400,64.29
10,Holidays,West Gate,Electronics,1,0.1,4,26.08
8,Mid-Semester,South Gate,POS/Fintech,18,0.802,364,21.57
7,Mid-Semester,South Gate,Stationery/Printing,9,0.925,344,70.33
5,Exams,South Gate,POS/Fintech,14,0.842,340,46.51
1,Holidays,Obanla,Electronics,8,0.227,9,40.23
5,Exams,Obanla,Fashion,9,0.698,102,47.09
10,Holidays,South Gate,Electronics,15,0.199,5,9.7
2,Mid-Semester,South Gate,POS/Fintech,15,0.872,495,43.08
5,Holidays,South Gate,Electronics,12,0.1,3,13.79
5,Exams,Obanla,Fast Food,19,0.69,330,21.54
2,Resumption,South Gate,Electronics,11,0.674,157,49.95
5,Exams,West Gate,Fast Food,6,0.296,135,27.73
4,Exams,South Gate,Electronics,11,0.75,58,46.02
1,Resumption,West Gate,Fast Food,3,0.264,152,23.23
3,Mid-Semester,South Gate,Fast Food,13,0.806,454,43.82
1,Holidays,Apatapiti,Electronics,2,0.221,8,45.23
12,Resumption,South Gate,Stationery/Printing,20,0.878,224,19.13
11,Holidays,South Gate,Fashion,12,0.258,19,21.35
5,Exams,Apatapiti,Fashion,6,0.619,108,48.23
4,Exams,Apatapiti,Fashion,3,0.568,94,51.88
7,Mid-Semester,North Gate,Fast Food,8,0.469,309,43.66
5,Exams,Obanla,Fashion,6,0.616,90,54.4
10,Holidays,Obanla,Fast Food,11,0.197,33,30.8
4,Exams,Apatapiti,Stationery/Printing,8,0.555,374,37.98
2,Resumption,South Gate,Electronics,6,0.776,189,64.28
4,Exams,Obanla,Electronics,9,0.677,63,45.38
12,Holidays,North Gate,Fast Food,12,0.1,16,8.83
2,Resumption,North Gate,Fast Food,8,0.392,173,30.01
8,Exams,Apatapiti,Stationery/Printing,6,0.647,550,52.57
3,Mid-Semester,South Gate,Fashion,13,0.947,212,39.2
9,Holidays,South Gate,Stationery/Printing,15,0.134,6,24.59
4,Mid-Semester,Obanla,Electronics,6,0.716,125,56.43
6,Mid-Semester,Obanla,Electronics,9,0.663,113,48.16
10,Holidays,South Gate,Fashion,20,0.216,15,0.0
5,Holidays,North Gate,Electronics,5,0.129,4,42.08
10,Holidays,West Gate,Fast Food,5,0.1,17,19.1
1,Resumption,South Gate,Electronics,9,0.74,181,52.18
9,Holidays,Obanla,POS/Fintech,15,0.2,24,11.53
1,Holidays,Obanla,Fashion,7,0.22,19,36.02
8,Exams,North Gate,Fashion,6,0.51,77,40.48
9,Exams,West Gate,Fashion,2,0.346,64,29.7
9,Exams,Obanla,POS/Fintech,13,0.695,313,39.23
1,Holidays,North Gate,Stationery/Printing,5,0.1,5,48.19
2,Resumption,Obanla,Fast Food,10,0.723,375,43.26
12,Holidays,Obanla,Fashion,9,0.159,11,24.45
1,Holidays,Obanla,Electronics,7,0.177,6,35.38
10,Resumption,Apatapiti,Fast Food,10,0.513,225,35.78
2,Resumption,North Gate,Electronics,5,0.535,145,52.76
10,Holidays,South Gate,Fast Food,13,0.242,42,28.14
12,Holidays,South Gate,Fast Food,11,0.156,22,30.31
8,Exams,South Gate,Electronics,16,0.807,52,22.73
5,Holidays,South Gate,Electronics,12,0.233,7,25.43
12,Holidays,Apatapiti,Fast Food,6,0.1,18,40.93
11,Holidays,Obanla,Fashion,6,0.205,20,34.35
7,Mid-Semester,Obanla,Electronics,7,0.742,109,57.35
2,Resumption,Obanla,POS/Fintech,12,0.614,479,44.25
8,Exams,Apatapiti,POS/Fintech,5,0.503,298,47.51
11,Holidays,North Gate,Fast Food,8,0.193,33,30.04
6,Resumption,Apatapiti,Stationery/Printing,6,0.498,207,43.13
8,Exams,North Gate,Fast Food,11,0.525,286,25.69
1,Holidays,West Gate,Fast Food,7,0.108,19,9.76
1,Resumption,Obanla,Fashion,13,0.644,226,30.53
12,Holidays,South Gate,Fashion,8,0.237,19,41.86
7,Mid-Semester,Obanla,Stationery/Printing,5,0.766,234,65.99
8,Exams,Obanla,Stationery/Printing,7,0.758,508,58.41
3,Mid-Semester,South Gate,Stationery/Printing,18,0.859,198,33.46
5,Holidays,Obanla,Stationery/Printing,9,0.171,10,32.93
12,Holidays,South Gate,Stationery/Printing,10,0.279,14,39.96
1,Holidays,South Gate,Fast Food,16,0.249,33,2.09
7,Exams,West Gate,Fast Food,9,0.253,127,8.72
5,Exams,Obanla,POS/Fintech,20,0.704,323,8.54
8,Mid-Semester,Apatapiti,POS/Fintech,14,0.665,361,23.06
8,Exams,Obanla,Electronics,6,0.787,71,52.03
9,Exams,North Gate,Fast Food,9,0.466,263,33.89
7,Mid-Semester,Obanla,Stationery/Printing,13,0.774,238,37.96
11,Holidays,Obanla,Electronics,5,0.206,7,44.76
1,Resumption,West Gate,Fashion,1,0.215,86,31.3
3,Mid-Semester,South Gate,Fast Food,17,0.875,415,27.29
8,Exams,Apatapiti,POS/Fintech,9,0.462,293,35.55
3,Mid-Semester,West Gate,Fast Food,6,0.345,233,25.22
8,Mid-Semester,Obanla,Fast Food,15,0.776,400,27.39
1,Holidays,West Gate,Fast Food,7,0.1,18,13.23
5,Exams,North Gate,Fast Food,13,0.427,180,18.8
4,Mid-Semester,West Gate,Fashion,1,0.212,71,28.48
5,Exams,Obanla,POS/Fintech,9,0.661,377,51.97
8,Exams,South Gate,Fast Food,13,0.814,349,43.8
10,Holidays,West Gate,Fashion,1,0.162,17,28.25
4,Mid-Semester,North Gate,Electronics,4,0.526,93,52.74
11,Holidays,North Gate,Fast Food,6,0.106,18,32.99
4,Mid-Semester,Obanla,Fashion,14,0.786,202,24.13
3,Mid-Semester,South Gate,Stationery/Printing,20,0.881,198,22.75
7,Mid-Semester,North Gate,Electronics,2,0.572,93,60.57
3,Mid-Semester,Apatapiti,POS/Fintech,20,0.642,256,0.0
12,Holidays,South Gate,Fast Food,11,0.213,31,35.78
3,Mid-Semester,South Gate,Fast Food,16,0.775,354,32.28
11,Holidays,South Gate,Fashion,10,0.28,21,33.17
10,Holidays,North Gate,POS/Fintech,8,0.119,17,30.43
5,Exams,Obanla,Stationery/Printing,11,0.668,441,35.11
5,Exams,Apatapiti,Electronics,8,0.471,33,34.99
6,Resumption,West Gate,POS/Fintech,7,0.213,169,23.9
8,Exams,Obanla,Fast Food,14,0.733,338,35.77
10,Holidays,South Gate,Fashion,13,0.193,13,16.13
6,Resumption,West Gate,Stationery/Printing,2,0.32,152,29.16
12,Resumption,Apatapiti,Fashion,5,0.621,256,50.11
1,Holidays,Obanla,Electronics,8,0.1,3,27.73
8,Mid-Semester,Obanla,POS/Fintech,12,0.699,440,45.66
8,Exams,West Gate,Fashion,3,0.292,54,21.03
9,Exams,Obanla,Fashion,8,0.787,114,57.42
9,Holidays,North Gate,Fast Food,8,0.1,16,26.83
2,Resumption,Obanla,Fashion,9,0.686,247,41.38
2,Resumption,South Gate,Stationery/Printing,10,0.71,258,57.58
3,Mid-Semester,North Gate,POS/Fintech,15,0.496,242,7.84
1,Resumption,North Gate,Electronics,1,0.457,135,48.88
4,Exams,South Gate,Fashion,16,0.791,86,27.35
4,Exams,South Gate,Stationery/Printing,15,0.889,405,45.77
9,Holidays,South Gate,Electronics,13,0.272,9,23.1
9,Exams,Obanla,Stationery/Printing,9,0.697,588,38.75
9,Exams,Apatapiti,Fashion,7,0.557,84,42.22
10,Holidays,West Gate,Fashion,3,0.115,9,26.01
7,Mid-Semester,South Gate,POS/Fintech,9,0.852,661,68.2
2,Resumption,Obanla,Fast Food,13,0.676,342,35.17
10,Holidays,West Gate,Stationery/Printing,5,0.1,5,25.33
5,Holidays,South Gate,Fast Food,18,0.242,34,4.75
4,Exams,Obanla,Fast Food,20,0.681,239,8.45
12,Holidays,Apatapiti,Electronics,5,0.118,3,33.29
11,Holidays,South Gate,Electronics,6,0.227,7,49.35
8,Exams,Apatapiti,Stationery/Printing,6,0.577,478,43.47
2,Resumption,Apatapiti,Fast Food,6,0.542,380,48.37
6,Resumption,South Gate,POS/Fintech,14,0.674,441,35.02
5,Holidays,South Gate,Fast Food,20,0.224,23,2.05
12,Holidays,South Gate,Electronics,12,0.112,3,16.99
2,Resumption,South Gate,Fast Food,12,0.816,402,49.85
11,Holidays,Obanla,Fashion,9,0.16,16,29.35
10,Holidays,Obanla,Fashion,7,0.195,18,38.45
1,Resumption,South Gate,POS/Fintech,20,0.736,524,12.21
8,Exams,West Gate,Stationery/Printing,2,0.3,288,32.47
2,Resumption,North Gate,Fast Food,6,0.39,243,38.27
7,Mid-Semester,South Gate,Fashion,12,0.943,214,40.93
9,Exams,South Gate,Stationery/Printing,10,0.773,522,66.35
9,Exams,Obanla,Fashion,8,0.756,113,50.97
8,Exams,North Gate,Stationery/Printing,3,0.419,255,58.38
11,Holidays,South Gate,Stationery/Printing,11,0.193,8,39.53
12,Holidays,South Gate,Fashion,10,0.175,14,31.99
10,Holidays,Apatapiti,Electronics,3,0.12,4,36.41
9,Exams,West Gate,Stationery/Printing,3,0.306,306,31.65
2,Mid-Semester,South Gate,Fast Food,14,0.873,471,44.41
6,Resumption,North Gate,Fashion,5,0.47,188,44.02
4,Mid-Semester,Obanla,Electronics,10,0.706,82,39.54
4,Mid-Semester,Obanla,Fashion,9,0.756,205,46.99
5,Exams,North Gate,POS/Fintech,6,0.433,309,44.12
12,Resumption,West Gate,Fast Food,7,0.343,180,27.11
3,Mid-Semester,Obanla,POS/Fintech,17,0.704,343,19.78
1,Resumption,North Gate,Stationery/Printing,5,0.426,160,63.69
8,Mid-Semester,Obanla,Stationery/Printing,14,0.753,220,30.14
5,Exams,West Gate,POS/Fintech,4,0.234,155,20.65
3,Mid-Semester,Apatapiti,POS/Fintech,9,0.632,406,40.31
10,Holidays,South Gate,Stationery/Printing,16,0.268,9,24.08
7,Mid-Semester,South Gate,Electronics,14,0.806,109,34.33
7,Mid-Semester,North Gate,Fast Food,11,0.466,249,22.27
1,Resumption,South Gate,Fashion,12,0.825,292,41.51
12,Holidays,Obanla,POS/Fintech,13,0.195,27,22.69
9,Holidays,Apatapiti,Fast Food,16,0.139,19,0.0
2,Resumption,Obanla,Fashion,9,0.637,253,51.26
5,Holidays,West Gate,Fashion,2,0.1,10,28.86
5,Exams,South Gate,POS/Fintech,19,0.8,377,25.71
8,Exams,Apatapiti,Electronics,3,0.602,62,51.39
8,Exams,Apatapiti,Electronics,6,0.57,56,54.78
7,Exams,North Gate,Fast Food,5,0.429,261,53.07
7,Mid-Semester,Obanla,Fast Food,13,0.724,415,42.15
12,Holidays,South Gate,Stationery/Printing,16,0.157,6,15.82
11,Holidays,Apatapiti,Electronics,2,0.143,5,41.17
6,Resumption,Obanla,Fast Food,13,0.788,361,39.78
6,Resumption,South Gate,Stationery/Printing,10,0.889,281,66.17
11,Resumption,Obanla,Fashion,6,0.691,316,63.47
9,Holidays,Obanla,Fast Food,16,0.105,14,0.0
6,Resumption,South Gate,Stationery/Printing,12,0.811,300,54.46
12,Resumption,South Gate,Electronics,10,0.798,208,53.13
2,Resumption,North Gate,Fashion,9,0.584,203,41.78
2,Resumption,Obanla,Fast Food,16,0.679,296,21.73
5,Holidays,Apatapiti,Electronics,5,0.129,4,38.03
4,Exams,West Gate,Fashion,1,0.235,39,29.93
11,Resumption,Obanla,POS/Fintech,16,0.716,458,28.44
2,Resumption,Apatapiti,Electronics,7,0.531,129,41.5
3,Mid-Semester,North Gate,POS/Fintech,6,0.487,342,48.83
7,Mid-Semester,Obanla,Fast Food,13,0.725,312,38.14
8,Mid-Semester,South Gate,Stationery/Printing,13,0.96,321,48.99
12,Holidays,North Gate,Fast Food,11,0.104,14,8.14
6,Mid-Semester,Obanla,Electronics,10,0.785,118,44.93
11,Holidays,South Gate,POS/Fintech,17,0.236,28,23.79
5,Holidays,Obanla,POS/Fintech,15,0.1,11,8.56
1,Holidays,Apatapiti,Fashion,8,0.261,24,26.22
8,Exams,North Gate,Fast Food,9,0.382,181,27.7
3,Mid-Semester,North Gate,Fast Food,5,0.455,276,51.11
6,Resumption,Apatapiti,Electronics,1,0.515,147,61.58
3,Mid-Semester,Apatapiti,POS/Fintech,7,0.564,390,42.31
7,Mid-Semester,South Gate,Electronics,9,0.839,119,57.29
7,Mid-Semester,South Gate,Electronics,13,0.811,106,37.36
12,Holidays,Obanla,POS/Fintech,8,0.255,40,45.59
9,Exams,Obanla,Electronics,6,0.742,67,57.95
5,Exams,South Gate,POS/Fintech,15,0.776,469,41.39
8,Exams,South Gate,Electronics,9,0.766,57,43.38
10,Resumption,Apatapiti,Stationery/Printing,9,0.512,175,37.54
10,Holidays,Obanla,Electronics,7,0.142,5,34.0
8,Exams,West Gate,Electronics,2,0.225,22,30.97
1,Holidays,Apatapiti,Stationery/Printing,7,0.197,11,31.46
12,Holidays,West Gate,Fast Food,4,0.1,16,17.33
5,Exams,South Gate,POS/Fintech,19,0.827,341,24.3
3,Mid-Semester,Apatapiti,Fashion,5,0.603,192,56.87
1,Resumption,South Gate,Stationery/Printing,11,0.837,313,58.86
4,Mid-Semester,Obanla,Fast Food,13,0.795,417,32.57
8,Exams,North Gate,Electronics,1,0.493,40,54.65
3,Mid-Semester,South Gate,Fast Food,20,0.965,409,23.35
10,Holidays,Apatapiti,Stationery/Printing,8,0.115,5,22.9
2,Mid-Semester,Apatapiti,Electronics,4,0.591,94,42.19
11,Holidays,South Gate,Fast Food,18,0.245,33,2.13
9,Exams,Obanla,Fashion,10,0.755,116,38.88
10,Holidays,North Gate,POS/Fintech,14,0.1,12,0.0
5,Exams,North Gate,POS/Fintech,7,0.473,264,36.05
7,Mid-Semester,Apatapiti,Stationery/Printing,8,0.601,209,36.37
11,Holidays,South Gate,Electronics,16,0.329,9,13.11
11,Holidays,West Gate,Electronics,2,0.108,4,24.93
2,Resumption,South Gate,POS/Fintech,20,0.819,445,21.14
9,Exams,Obanla,Fast Food,11,0.693,381,40.47
9,Holidays,Obanla,Electronics,11,0.15,4,16.83
4,Mid-Semester,South Gate,Fashion,8,0.829,234,56.96
4,Exams,South Gate,Fashion,13,0.835,109,37.7
6,Resumption,Apatapiti,Electronics,6,0.614,147,48.15
10,Holidays,Apatapiti,Electronics,8,0.1,2,20.02
10,Holidays,South Gate,POS/Fintech,19,0.312,28,2.57
10,Holidays,Obanla,Stationery/Printing,10,0.232,11,26.4
6,Resumption,South Gate,POS/Fintech,14,0.815,557,39.02
12,Resumption,South Gate,Stationery/Printing,14,0.812,292,46.23
1,Holidays,North Gate,Fashion,6,0.105,10,25.9
9,Exams,South Gate,Stationery/Printing,17,0.801,481,33.75
2,Resumption,Apatapiti,POS/Fintech,12,0.574,399,24.29
5,Exams,Obanla,Electronics,6,0.7,64,59.29
9,Exams,West Gate,Stationery/Printing,3,0.297,236,31.19
4,Exams,Obanla,POS/Fintech,17,0.679,303,17.17
11,Holidays,West Gate,Fashion,1,0.114,12,25.72
3,Mid-Semester,Obanla,Stationery/Printing,6,0.743,276,54.99
7,Mid-Semester,Obanla,Fashion,10,0.73,195,41.41
6,Resumption,West Gate,Fashion,3,0.229,89,31.27
8,Mid-Semester,Obanla,Fast Food,13,0.717,431,31.66
3,Mid-Semester,South Gate,Stationery/Printing,12,0.784,237,51.71
5,Exams,Obanla,POS/Fintech,13,0.734,336,35.95
10,Holidays,West Gate,Stationery/Printing,1,0.1,5,26.22
4,Mid-Semester,Apatapiti,Stationery/Printing,4,0.598,181,58.12
4,Exams,Obanla,Fashion,13,0.773,73,30.68
4,Mid-Semester,Obanla,Fashion,11,0.744,222,40.4
10,Holidays,West Gate,Fashion,2,0.1,9,23.11
8,Exams,South Gate,Fashion,14,0.805,89,30.77
6,Resumption,Obanla,POS/Fintech,10,0.69,510,51.07
3,Mid-Semester,South Gate,Electronics,9,0.827,117,57.39
10,Holidays,Obanla,Fast Food,7,0.23,36,38.6
5,Exams,Obanla,Fashion,5,0.719,102,66.12
6,Resumption,South Gate,Fashion,12,0.738,254,45.41
5,Holidays,South Gate,Fast Food,13,0.195,27,18.76
6,Mid-Semester,Obanla,Fashion,8,0.807,277,59.26
8,Exams,South Gate,Electronics,12,0.775,56,41.64
7,Mid-Semester,South Gate,Stationery/Printing,16,0.871,235,38.71
5,Exams,Apatapiti,Fast Food,13,0.594,259,32.94
10,Holidays,South Gate,POS/Fintech,12,0.159,22,31.42
6,Resumption,North Gate,Fast Food,6,0.378,252,39.24
4,Mid-Semester,West Gate,Electronics,1,0.284,49,29.41
12,Resumption,South Gate,POS/Fintech,17,0.805,487,31.98
9,Exams,North Gate,Stationery/Printing,10,0.401,287,37.8
4,Exams,Obanla,Fashion,16,0.669,83,16.76
1,Holidays,Apatapiti,Fast Food,3,0.184,43,43.13
7,Mid-Semester,West Gate,POS/Fintech,4,0.247,172,24.96
7,Exams,West Gate,Fast Food,7,0.336,181,21.16
4,Mid-Semester,Apatapiti,Stationery/Printing,7,0.733,223,43.81
3,Mid-Semester,South Gate,Fast Food,15,0.809,392,37.81
8,Exams,South Gate,POS/Fintech,18,0.881,378,30.37
5,Exams,North Gate,Electronics,5,0.491,46,45.94
10,Holidays,South Gate,POS/Fintech,18,0.173,18,6.49
7,Mid-Semester,Obanla,Fast Food,10,0.83,426,44.69
4,Exams,Obanla,Stationery/Printing,11,0.733,449,40.63
4,Exams,South Gate,Fashion,16,0.867,98,32.44
8,Exams,Apatapiti,Fashion,5,0.687,116,58.12
8,Exams,South Gate,Stationery/Printing,20,0.802,431,22.98
2,Resumption,North Gate,Fast Food,14,0.478,234,15.89
2,Resumption,Obanla,Stationery/Printing,6,0.619,261,56.75
3,Mid-Semester,North Gate,Fast Food,5,0.477,319,48.98
12,Holidays,North Gate,POS/Fintech,10,0.121,16,15.46
12,Resumption,South Gate,Electronics,8,0.776,178,62.24
3,Mid-Semester,North Gate,Fast Food,8,0.394,216,36.72
1,Holidays,Apatapiti,Fashion,5,0.227,19,45.19
3,Mid-Semester,West Gate,Fashion,3,0.332,123,35.08
6,Resumption,North Gate,Electronics,5,0.476,141,44.47
8,Exams,North Gate,Fast Food,6,0.577,315,46.03
12,Holidays,Obanla,Electronics,7,0.269,9,31.55
10,Resumption,West Gate,POS/Fintech,5,0.262,247,20.44
6,Resumption,South Gate,Electronics,14,0.737,149,25.07
5,Exams,North Gate,POS/Fintech,14,0.506,251,5.17
4,Exams,Apatapiti,Fashion,5,0.648,92,54.23
3,Exams,Obanla,POS/Fintech,8,0.705,378,62.87
4,Exams,South Gate,Fast Food,9,0.852,484,62.74
7,Mid-Semester,Obanla,Fast Food,14,0.835,432,38.51
1,Holidays,South Gate,Fast Food,15,0.262,35,16.89
7,Mid-Semester,Obanla,Fast Food,14,0.67,384,30.53
1,Holidays,Obanla,Stationery/Printing,11,0.128,5,21.09
2,Resumption,Apatapiti,POS/Fintech,11,0.639,523,30.21
4,Exams,North Gate,Fast Food,5,0.48,257,49.8
1,Resumption,South Gate,Electronics,11,0.782,175,44.24
11,Resumption,South Gate,Electronics,6,0.793,194,61.38
12,Holidays,Apatapiti,Stationery/Printing,7,0.222,10,31.76
11,Holidays,South Gate,POS/Fintech,20,0.173,21,0.0
11,Holidays,North Gate,POS/Fintech,5,0.104,14,39.66
9,Holidays,South Gate,POS/Fintech,14,0.162,18,22.13
12,Holidays,Apatapiti,Stationery/Printing,10,0.1,3,21.96
6,Resumption,North Gate,POS/Fintech,13,0.471,323,13.85
1,Resumption,North Gate,POS/Fintech,17,0.407,258,0.0
1,Resumption,North Gate,Fast Food,9,0.498,287,27.82
6,Resumption,Apatapiti,POS/Fintech,12,0.51,360,28.65
4,Exams,Obanla,Fast Food,9,0.645,303,47.49
4,Mid-Semester,Obanla,Fast Food,11,0.803,425,40.61
11,Holidays,Apatapiti,POS/Fintech,5,0.176,28,40.54
6,Resumption,West Gate,Electronics,2,0.262,81,28.33
12,Holidays,South Gate,Fashion,7,0.207,17,37.96
11,Holidays,West Gate,Electronics,0,0.105,3,32.12
7,Mid-Semester,South Gate,POS/Fintech,15,0.935,484,42.66
9,Exams,North Gate,POS/Fintech,9,0.495,293,36.09
10,Holidays,Apatapiti,Electronics,3,0.173,7,42.29
5,Exams,South Gate,POS/Fintech,18,0.785,315,36.84
9,Exams,South Gate,Fast Food,13,0.796,355,42.55
4,Exams,South Gate,Stationery/Printing,13,0.642,330,38.97
10,Holidays,Obanla,POS/Fintech,13,0.14,14,15.68
2,Mid-Semester,North Gate,POS/Fintech,12,0.447,232,24.1
3,Mid-Semester,Obanla,Electronics,3,0.695,105,64.83
11,Holidays,Apatapiti,Fast Food,13,0.131,17,8.2
1,Resumption,Obanla,Electronics,6,0.661,179,58.01
6,Resumption,South Gate,Electronics,4,0.712,194,73.73
6,Resumption,West Gate,POS/Fintech,3,0.333,315,37.79
1,Holidays,South Gate,Fast Food,20,0.242,30,0.0
11,Holidays,South Gate,POS/Fintech,17,0.223,26,14.85
3,Exams,South Gate,POS/Fintech,20,0.84,345,14.21
5,Exams,Obanla,POS/Fintech,10,0.627,367,49.93
3,Mid-Semester,South Gate,POS/Fintech,10,0.763,381,56.48
10,Holidays,South Gate,Stationery/Printing,13,0.273,11,25.46
3,Mid-Semester,South Gate,Fashion,10,0.969,288,52.69
10,Holidays,South Gate,Fast Food,9,0.215,33,35.76
3,Mid-Semester,Obanla,Stationery/Printing,12,0.863,268,40.88
5,Holidays,Apatapiti,Fashion,9,0.15,12,17.32
5,Exams,Apatapiti,Fashion,11,0.535,77,30.06
4,Exams,South Gate,Fashion,16,0.857,111,32.35
1,Holidays,South Gate,Stationery/Printing,16,0.105,3,11.7
5,Holidays,West Gate,Fast Food,4,0.1,16,21.17
10,Holidays,South Gate,Electronics,11,0.171,4,25.11
5,Exams,Apatapiti,Fashion,6,0.51,47,44.38
4,Exams,South Gate,Electronics,3,0.783,77,77.75
6,Mid-Semester,West Gate,Electronics,0,0.315,61,25.16
10,Holidays,South Gate,POS/Fintech,18,0.278,29,6.68
4,Exams,North Gate,Electronics,2,0.527,47,47.69
7,Mid-Semester,Obanla,POS/Fintech,12,0.67,385,43.25
7,Mid-Semester,Obanla,Fast Food,10,0.864,632,53.59
2,Resumption,South Gate,Fast Food,13,0.827,356,47.46
3,Exams,Obanla,POS/Fintech,12,0.715,329,43.16
1,Holidays,Obanla,Fast Food,14,0.255,37,16.99
8,Exams,South Gate,Fashion,9,0.761,116,49.64
9,Holidays,South Gate,Fast Food,11,0.255,40,33.02
4,Exams,North Gate,POS/Fintech,11,0.378,207,18.6
6,Resumption,South Gate,Fashion,11,0.75,257,47.2
9,Holidays,Obanla,Electronics,6,0.256,7,38.67
6,Resumption,South Gate,Electronics,11,0.742,205,42.41
12,Resumption,North Gate,Electronics,1,0.429,150,51.18
12,Holidays,South Gate,POS/Fintech,11,0.182,23,39.0
12,Holidays,Obanla,Electronics,7,0.178,6,35.86
9,Holidays,South Gate,Fast Food,14,0.162,23,25.26
4,Exams,South Gate,Electronics,8,0.887,61,67.07
8,Exams,South Gate,Stationery/Printing,13,0.748,405,45.47
9,Exams,West Gate,Stationery/Printing,4,0.301,262,30.65
4,Exams,South Gate,Electronics,6,0.85,84,70.47
5,Exams,Obanla,Electronics,3,0.676,65,51.38
8,Exams,South Gate,Stationery/Printing,13,0.735,490,39.36
12,Holidays,South Gate,Electronics,10,0.184,5,30.74
10,Holidays,Obanla,Fashion,10,0.168,12,25.43
6,Resumption,North Gate,Stationery/Printing,5,0.496,230,60.47
12,Holidays,West Gate,POS/Fintech,8,0.1,14,4.54
7,Mid-Semester,West Gate,Stationery/Printing,1,0.3,116,41.65
3,Exams,Apatapiti,Fast Food,12,0.5,277,29.27
7,Mid-Semester,Obanla,Fashion,16,0.74,205,23.48
12,Holidays,North Gate,POS/Fintech,5,0.197,32,43.13
8,Exams,North Gate,Electronics,3,0.53,45,53.64
10,Holidays,West Gate,Fast Food,2,0.1,18,24.34
6,Resumption,Obanla,Fast Food,15,0.717,312,31.21
10,Holidays,Obanla,Fashion,11,0.18,14,17.71
9,Exams,South Gate,POS/Fintech,11,0.833,400,59.55
6,Resumption,South Gate,Fast Food,12,0.75,416,46.45
12,Holidays,West Gate,POS/Fintech,5,0.1,15,23.37
9,Exams,South Gate,POS/Fintech,17,0.757,405,29.71
4,Exams,North Gate,Fast Food,3,0.501,302,48.49
8,Exams,South Gate,POS/Fintech,13,0.675,332,41.45
11,Holidays,Apatapiti,Fashion,8,0.203,16,32.49
4,Mid-Semester,South Gate,Fast Food,12,0.838,425,51.41
2,Resumption,Apatapiti,Fashion,13,0.508,174,22.7
10,Holidays,South Gate,Fashion,9,0.262,22,39.43
11,Holidays,Apatapiti,POS/Fintech,11,0.1,14,9.72
9,Exams,Obanla,POS/Fintech,12,0.736,361,37.02
5,Exams,South Gate,Fast Food,15,0.89,414,42.04
4,Exams,Obanla,Electronics,9,0.644,59,43.36
2,Resumption,South Gate,Fast Food,13,0.742,406,44.23
1,Holidays,South Gate,Fashion,5,0.235,20,56.33
11,Holidays,Apatapiti,POS/Fintech,9,0.1,13,18.58
7,Mid-Semester,North Gate,Fashion,9,0.512,137,31.37
6,Resumption,North Gate,Stationery/Printing,6,0.584,225,54.85
2,Resumption,South Gate,Stationery/Printing,7,0.781,344,71.75
8,Exams,North Gate,Fashion,11,0.49,59,20.0
11,Holidays,Apatapiti,Electronics,6,0.1,4,33.41
4,Exams,North Gate,Electronics,2,0.541,53,56.04
8,Mid-Semester,West Gate,Fast Food,2,0.164,110,27.82
7,Mid-Semester,West Gate,Fast Food,4,0.298,235,22.17
5,Holidays,South Gate,Fast Food,9,0.258,35,45.29
10,Holidays,South Gate,POS/Fintech,20,0.1,9,0.0
10,Holidays,Apatapiti,Electronics,8,0.1,2,22.2
12,Holidays,North Gate,Fashion,10,0.1,8,18.6
8,Exams,South Gate,Stationery/Printing,14,0.876,519,49.71
9,Exams,South Gate,Electronics,15,0.776,47,25.08
5,Exams,Obanla,Electronics,10,0.757,53,43.8
10,Resumption,Apatapiti,Electronics,5,0.577,160,50.3
5,Holidays,South Gate,Fast Food,20,0.129,16,0.0
2,Resumption,South Gate,POS/Fintech,19,0.746,390,22.7
5,Exams,West Gate,Fashion,1,0.274,46,27.61
3,Exams,Apatapiti,Fast Food,10,0.596,297,40.58
7,Mid-Semester,Obanla,POS/Fintech,15,0.761,383,28.43
10,Holidays,Apatapiti,Electronics,4,0.147,6,43.47
5,Exams,North Gate,POS/Fintech,10,0.533,296,28.55
8,Mid-Semester,Apatapiti,Fast Food,9,0.658,392,53.71
